Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Eu (K),Comment,Additional comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HC15Nv=0,3-2,258.156996,40.16842334,24.77875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO3&Sigma;v=0,6(6)-5(5),258.255813,40.15547805,56.49798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv=0,"27(3,24)-26(3,23)",258.285663,74.79776568,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,H13CNv=0,J=3-2,259.011788,58.48365896,24.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HDCO,"4(2,2)-3(2,1)",259.034772,68.97351115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,H13CNv=0,J=3-2,259.011788,9.598192451,24.8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HDCO,"4(2,2)-3(2,1)",259.034772,36.19774585,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-259067,259.067,73.48750007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,257_spw45,max,SO+,"J=11/2-9/2,&Omega;=1/2,l=f",255.353237,16.97057385,39.02871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,13CH3OHvt=0,"9(3,7)-9(2,8)A+-",255.355916,20.1155902,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,OCSv=0,21-20,255.3744558,41.87860975,134.82784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,"CH3CHOv=0,1&2","13(1,12)-12(1,11)A--",255.384756,53.96817597,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,255_spw87,max,34SO2v=0,"11(3,9)-11(2,10)",253.936313,3.578907923,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CH2CNv=0,"22(6,17)-22(5,18)",253.941855,10.12146849,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO2v=0,"15(6,10)-16(5,11)",253.956546,27.46342079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,"NS,v=0","J=11/2-9/2,&Omega;=1/2,F=13/2-11/2,l=f",253.968393,41.44671945,39.93299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OHvt=0-2,"2(0,2)-1(-1,1)",254.015367,9.862098207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3NH2,"4(1)E1-1-3(0)E1+1,F=5-4",254.055546,57.27285192,25.3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-254063,254.063,66.06683636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2NH,"4(0,4)-3(0,3)",254.68507,40.97734112,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HC3Nv=0,J=28-27,254.699488,57.94563926,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,NH2CHO,"12(9,3)-11(9,2)",254.726974,73.84823164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO+,"J=11/2-9/2,&Omega;=1/2,l=f",255.353237,16.33227581,39.02871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,13CH3OHvt=0,"9(3,7)-9(2,8)A+-",255.355916,19.47729886,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,OCSv=0,21-20,255.3744558,41.24036475,134.82784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,"CH3CHOv=0,1&2","13(1,12)-12(1,11)A--",255.384756,53.3299567,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OHvt=0-2,"2(0,2)-1(-1,1)",254.015367,47.64496356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3NH2,"4(1)E1-1-3(0)E1+1,F=5-4",254.055546,57.64877486,25.3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-254063,254.063,66.44274828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3CH2CNv=0,"13(6,7)-13(5,8)",254.663179,12.22556992,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH2NH,"4(0,4)-3(0,3)",254.68507,37.99264401,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,HC3Nv=0,J=28-27,254.699488,54.96111111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,NH2CHO,"12(9,3)-11(9,2)",254.726974,62.79390491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,254_spw85,max,UnidentifiedTransition,U-251953,251.953,3.106116429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
